Total Population,Total Households,Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
4152,1816,1816,639,740,108,202,20,1107,709,0,1741,1130,611
3,3,3,0,0,0,0,0,0,3,0,0,0,0
5229,1863,1863,436,372,331,239,227,1689,24,150,1789,1701,88
5537,3326,3326,1356,1404,294,148,26,366,2956,4,3044,538,2506
4405,1732,1732,741,412,340,91,84,1320,404,8,1635,1260,375
446,212,212,81,30,29,19,14,212,0,0,198,166,32
6132,2340,2340,101,1326,443,170,97,2112,216,12,2252,2136,116
3702,1474,1474,686,238,74,162,36,507,967,0,1393,889,504
6878,2807,2807,25,1525,730,273,93,2482,325,0,2618,1995,623
2153,1267,1267,736,332,52,90,36,32,1235,0,1189,277,912
3756,1589,1589,1027,318,32,59,64,1237,352,0,1484,879,605
230,87,87,38,30,18,0,0,82,5,0,86,0,86
7113,2551,2551,422,1246,79,60,82,1413,1135,3,2322,1265,1057
4655,1849,1849,348,783,273,218,132,1163,681,5,1768,1376,392
7808,2951,2951,0,168,154,138,413,1908,288,755,2611,2209,402
8269,3066,3066,24,695,360,311,500,2641,417,8,2812,2264,548
2731,1510,1510,456,638,126,66,51,145,1354,11,1374,155,1219
3307,929,929,11,17,140,418,125,529,400,0,851,678,173
3933,1908,1908,32,342,622,592,144,579,1329,0,1850,801,1049
3090,1170,1170,76,419,219,202,74,805,365,0,1143,964,179
5440,1846,1846,351,521,146,135,31,1625,213,8,1725,1525,200
3348,1093,1093,233,204,132,201,95,233,860,0,1020,627,393
3306,1175,1175,177,429,93,68,39,1159,16,0,1050,862,188
5113,1554,1554,0,62,325,410,276,1257,297,0,1456,1128,328
3922,1539,1539,32,763,548,112,48,1248,291,0,1455,1060,395
4616,1988,1988,961,547,259,103,61,1066,922,0,1968,1301,667
4110,1196,1196,28,81,341,307,174,496,623,77,1163,846,317
2088,1177,1177,389,407,146,122,37,16,1161,0,1105,118,987
3433,1169,1169,85,918,95,47,0,923,246,0,1106,798,308
7921,3298,3298,106,588,328,472,207,1844,1435,19,3113,1752,1361
3385,1572,1572,1283,183,16,70,10,26,1533,13,1550,775,775
1438,798,798,545,103,26,12,17,22,776,0,748,232,516
3640,1590,1590,82,341,649,427,49,1121,469,0,1508,989,519
4232,1689,1689,44,417,604,214,191,1281,408,0,1609,1329,280
7152,2644,2644,187,1378,499,292,35,2237,407,0,2428,1769,659
4977,2354,2354,1580,579,96,53,18,1323,1027,4,2315,1182,1133
4295,1573,1573,260,1079,141,43,11,1542,31,0,1515,1290,225
4062,1794,1794,740,658,169,53,13,1210,576,8,1687,1109,578
2745,1045,1045,479,323,120,66,12,962,79,4,1004,894,110
9900,5466,5466,68,36,118,1460,932,147,5318,1,4861,2352,2509
7824,2913,2913,439,1144,252,542,246,585,2328,0,2723,1262,1461
5146,1805,1805,284,1071,112,174,35,1072,733,0,1664,1327,337
5114,2630,2630,637,1371,252,154,47,439,2187,4,2566,618,1948
2565,1011,1011,511,344,60,58,5,435,576,0,935,350,585
9526,4730,4730,1214,990,416,230,106,1247,3483,0,4336,3016,1320
4020,1620,1620,231,373,803,143,12,1024,591,5,1563,1129,434
6274,2767,2767,70,1199,691,409,171,1763,1004,0,2633,1617,1016
3783,1779,1779,583,338,96,115,251,728,1051,0,1629,1134,495
4623,2175,2175,262,1169,254,343,40,1417,695,63,2079,1450,629
7761,2226,2226,10,50,451,1363,133,2107,119,0,1970,1915,55
4610,1861,1861,123,600,462,187,150,1689,151,21,1716,1498,218
1897,690,690,477,116,10,31,10,553,133,4,655,527,128
3515,1052,1052,329,328,75,150,60,1008,32,12,1031,758,273
10793,4337,4337,1633,842,203,287,181,1223,3102,12,4002,2009,1993
7427,2454,2454,0,2,0,7,126,1985,469,0,2165,1890,275
4526,1825,1825,673,1014,49,22,0,1332,493,0,1730,1282,448
6938,2397,2397,17,128,906,643,263,2164,233,0,2173,1861,312
6196,3151,3151,1282,1089,287,184,50,848,2285,18,2926,895,2031
5112,2696,2696,1100,1077,281,158,2,48,2645,3,2506,93,2413
3252,1070,1070,15,20,605,371,3,1070,0,0,986,953,33
3703,1527,1527,189,654,234,307,69,886,641,0,1441,253,1188
2962,920,920,252,248,106,69,25,629,291,0,842,668,174
6457,2929,2929,681,1711,342,106,15,1908,1018,3,2877,1807,1070
1557,537,537,0,0,0,0,9,10,527,0,258,161,97
3027,1620,1620,1089,333,114,31,16,101,1514,5,1524,317,1207
2757,1048,1048,761,157,26,32,15,476,567,5,1018,362,656
2084,1164,1164,755,273,40,10,15,343,816,5,1162,471,691
4225,1943,1943,633,1062,95,77,14,1185,758,0,1837,971,866
100,34,34,2,6,8,7,2,34,0,0,32,28,0
4562,1522,1522,0,13,233,945,267,971,551,0,1407,1173,234
4297,1785,1785,1117,252,51,57,33,1144,641,0,1645,980,665
2653,1801,1801,114,724,445,278,35,28,1770,3,1807,1101,706
4657,2074,2074,1539,345,81,46,3,850,1218,6,1943,889,1054
3718,1402,1402,238,456,368,258,26,1064,338,0,1317,968,349
3957,1032,1032,0,12,80,723,149,763,269,0,944,822,122
3843,1393,1393,52,466,362,316,46,1235,154,4,1295,1195,100
4694,1779,1779,412,861,197,98,39,803,976,0,1613,464,1149
4325,1616,1616,1151,200,72,72,21,1552,64,0,1533,1376,157
2604,1197,1197,895,244,35,15,0,750,447,0,1178,562,616
5300,1678,1678,185,809,129,157,62,1032,646,0,1568,1174,394
6728,2742,2742,119,409,177,770,154,1879,811,52,2613,1686,927
3853,1730,1730,518,792,220,80,37,511,1219,0,1602,561,1041
5619,2622,2622,875,608,265,153,159,1536,1082,4,2415,1282,1133
2530,1146,1146,566,240,83,55,48,586,556,4,1053,402,651
4688,1566,1566,59,382,200,550,253,1035,531,0,1491,1164,327
3326,1229,1229,165,485,242,93,36,1213,16,0,1194,1114,80
5714,1929,1929,37,681,1031,134,0,1151,778,0,1777,1443,334
6587,2007,2007,422,1120,217,85,29,164,1843,0,1877,474,1403
3660,1224,1224,193,504,126,199,147,349,875,0,1116,306,810
3789,1594,1594,355,922,97,152,22,1398,196,0,1573,1141,432
5473,2892,2892,1760,743,141,104,3,65,2819,8,2756,797,1959
4941,2197,2197,1305,746,53,14,14,1479,718,0,2066,1321,745
4854,1423,1423,0,0,15,299,869,1423,0,0,1259,1212,47
5306,1603,1603,156,1152,172,42,0,1312,291,0,1455,1135,320
6640,1826,1826,12,17,0,426,1183,1753,71,2,1677,1493,184
2356,1204,1204,618,404,80,70,16,557,637,10,1131,494,637
4691,3162,3162,291,1393,407,280,305,139,3023,0,2798,827,1971
4598,1708,1708,225,1160,220,32,0,1299,404,5,1599,1157,442
6883,2656,2656,456,690,456,499,186,2462,31,163,2631,2515,115
5863,2329,2329,380,1294,171,125,196,569,1754,6,2194,1219,975
6242,2045,2045,325,345,615,181,23,1774,271,0,1796,1604,192
6294,3325,3325,33,1199,1500,405,57,218,3095,12,3143,1631,1512
7315,3648,3648,1499,1580,210,225,43,823,2825,0,3394,886,2508
6640,2589,2589,855,1048,370,140,44,2118,471,0,2490,1607,883
5906,1976,1976,67,1557,198,74,15,1504,472,0,1837,1226,611
3333,1878,1878,110,700,492,257,49,697,1176,5,1754,837,917
4489,1818,1818,175,1099,246,195,3,1517,295,6,1775,1477,298
4350,1390,1390,22,139,752,320,72,981,405,4,1360,1132,228
5588,2132,2132,228,1531,78,63,79,1629,503,0,1952,1161,791
6229,2348,2348,59,1275,192,176,111,1786,562,0,2120,1500,620
2202,1057,1057,772,174,45,32,12,546,508,3,1014,440,574
3206,1021,1021,250,255,115,237,37,917,99,5,970,777,193
8392,3666,3666,139,620,512,450,384,2135,1512,19,3427,2467,960
1376,720,720,211,279,72,58,0,286,434,0,661,281,380
4949,2113,2113,99,619,490,333,93,1362,741,10,2024,1303,721
5289,2393,2393,64,717,465,748,211,815,1578,0,2264,1705,559
6124,2588,2588,129,1367,355,450,114,1926,662,0,2399,1567,832
6016,2752,2752,0,163,997,1105,368,0,2752,0,2524,1878,646
674,287,287,208,38,17,12,11,110,177,0,285,135,150
7330,2628,2628,3,471,106,674,1033,2505,123,0,2489,2178,311
6406,2556,2556,124,1060,635,346,142,1906,286,364,2484,2144,340
2009,1076,1076,567,384,40,16,6,135,936,5,1077,314,763
4994,2465,2465,735,854,271,270,56,569,1872,24,2335,910,1425
2694,1461,1461,71,915,137,91,15,558,903,0,1460,613,847
2108,810,810,94,51,160,346,90,646,164,0,767,666,101
3721,1405,1405,5,194,1097,52,25,1400,5,0,1325,1242,83
2098,823,823,601,71,22,17,67,548,275,0,775,575,200
5702,2644,2644,195,1713,525,125,26,1751,893,0,2510,1473,1037
3344,1044,1044,13,280,483,201,34,847,197,0,953,841,112
6155,2676,2676,1198,631,124,161,173,1715,940,21,2522,1854,668
3271,1135,1135,989,85,15,11,0,1098,37,0,1067,996,71
3422,1217,1217,245,155,282,294,202,515,702,0,1172,808,364
8725,3137,3137,858,565,392,461,211,1046,2076,15,2904,1734,1170
3691,1407,1407,257,586,120,93,59,1227,180,0,1300,575,725
6052,1963,1963,129,1132,544,55,14,1853,110,0,1875,1762,113
6535,2355,2355,717,1035,304,137,36,789,1566,0,2171,616,1555
2281,858,858,4,38,262,507,20,854,0,4,793,746,47
3448,1681,1681,900,472,126,66,22,967,710,4,1551,679,872
8124,4080,4080,232,2086,579,382,71,970,3107,3,3758,1386,2372
6090,2135,2135,765,635,219,201,58,1116,1019,0,2012,1496,516
3244,1421,1421,765,394,147,43,22,374,1047,0,1357,576,781
6672,1968,1968,69,1260,510,77,16,1665,303,0,1847,1338,509
2068,892,892,68,713,54,55,0,578,179,135,894,644,250
2542,1049,1049,140,828,43,18,0,808,241,0,992,791,201
3999,1650,1650,20,418,1030,136,3,1046,604,0,1612,1161,451
3214,1355,1355,449,525,121,142,37,708,643,4,1343,1051,292
1613,679,679,357,180,43,27,23,552,127,0,638,421,217
2102,1125,1125,639,135,31,85,118,16,1094,15,1059,465,594
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3380,1863,1863,114,306,244,331,37,11,1846,6,1697,1061,636
4822,2623,2623,1245,622,246,175,90,574,2044,5,2363,499,1864
3338,1152,1152,47,259,208,191,130,1105,47,0,1107,1056,51
1122,325,325,14,41,69,89,36,296,26,3,0,0,0
3599,1510,1510,863,362,148,78,18,764,735,11,1389,640,749
8820,2952,2952,239,914,320,391,336,2355,597,0,2853,2461,392
7884,2080,2080,65,323,544,611,182,535,1531,14,1953,1226,727
4702,2092,2092,1139,572,173,97,18,1474,618,0,2005,1068,937
3724,1279,1279,3,477,712,47,0,1175,104,0,1186,1105,81
4385,1726,1726,226,238,254,280,384,1277,238,211,1597,1258,339
3126,1086,1086,78,197,362,264,90,1041,5,40,1075,1052,23
7694,2778,2778,15,115,1190,1091,41,2408,365,5,2622,2033,589
3635,1527,1527,90,1366,14,14,13,1414,31,82,1481,1368,113
13638,3622,3622,0,3,4,304,1722,3449,173,0,3319,2970,349
8549,2887,2887,75,174,204,1196,643,2446,441,0,2690,2407,283
3803,1282,1282,138,995,76,16,10,1173,106,3,1176,1083,93
6386,2924,2924,1543,704,451,114,30,425,2482,17,2797,1003,1794
12055,2762,2762,0,0,12,14,244,2729,33,0,2573,2275,298
6057,2457,2457,1881,275,57,44,22,953,1467,37,2291,1248,1043
8558,2907,2907,293,360,452,720,593,2552,267,88,2820,2441,379
4451,1442,1442,187,129,40,662,247,1419,23,0,1372,1266,106
1048,398,398,112,145,90,25,15,393,5,0,399,352,47
2873,1214,1214,294,380,131,203,64,1148,0,66,1196,1153,43
7037,1741,1741,10,2,46,912,365,1194,547,0,1651,1355,296
6784,2525,2525,212,494,256,434,274,2205,320,0,2400,2152,248
6482,2025,2025,38,772,985,143,28,1257,768,0,1953,1504,449
3570,1548,1548,1315,159,0,30,11,1487,58,3,1497,1356,141
2727,861,861,396,247,20,72,9,733,128,0,727,561,166
7914,2834,2834,34,907,1028,222,106,2703,131,0,2608,2396,212
4619,1680,1680,16,934,355,212,127,1675,0,5,1576,1358,218
7957,3650,3650,1090,1539,350,235,61,1286,2364,0,3336,984,2352
3846,1349,1349,10,197,654,395,53,1098,247,4,1261,971,290
8567,3932,3932,238,1433,687,823,241,1556,2375,1,3738,1968,1770
7596,2531,2531,0,16,19,286,812,1945,586,0,2331,1860,471
8612,2595,2595,1228,1025,132,77,16,1413,1161,21,2441,1435,1006
7256,2310,2310,104,813,546,445,194,2105,205,0,2177,1992,185
3781,1762,1762,388,1035,164,108,23,1042,715,5,1750,765,985
6652,3220,3220,866,969,305,476,114,853,2352,15,3045,1543,1502
6653,2301,2301,720,221,876,227,40,2052,249,0,2131,1884,247
7081,2912,2912,749,875,411,383,148,2646,118,148,2885,2604,281
4488,1616,1616,849,584,52,43,6,930,673,13,1517,958,559
4966,2029,2029,1522,238,40,44,83,1101,918,10,1907,1148,759
3017,1109,1109,180,799,41,33,10,686,418,5,1071,608,463
7989,4733,4733,236,60,161,965,1079,50,4683,0,4256,1631,2625
2069,1027,1027,813,152,27,6,11,70,952,5,963,444,519
6154,3186,3186,824,781,165,197,97,862,2318,6,2776,1241,1535
6019,2007,2007,0,0,12,20,301,1545,462,0,1778,1164,614
5911,2374,2374,114,546,346,218,593,1400,969,5,2282,1868,414
4492,1822,1822,38,695,377,430,178,1041,781,0,1736,1123,613
5162,1861,1861,343,413,553,274,117,1799,53,9,1738,1574,164
7701,2993,2993,600,901,298,445,72,2233,744,16,2755,1882,873
10642,5325,5325,313,1863,371,224,520,87,5238,0,4859,1176,3683
7474,3962,3962,1340,527,334,339,188,1162,2800,0,3524,1517,2007
4066,1390,1390,743,413,38,43,27,1358,27,5,1306,1218,88
3279,1254,1254,53,1030,120,24,0,681,570,3,1214,1052,162
1400,540,540,2,129,30,42,186,11,356,173,466,328,138
4826,1271,1271,0,0,0,66,1029,1266,5,0,1239,1219,20
5225,1672,1672,146,1030,193,146,31,744,928,0,1511,411,1100
5188,2457,2457,631,1105,256,269,64,990,1467,0,2235,785,1450
8882,3520,3520,83,704,289,634,290,2140,1376,4,3296,2696,600
5547,2018,2018,230,703,854,196,0,1744,274,0,1938,1769,169
1556,755,755,380,218,12,31,15,223,532,0,726,248,478
9802,4197,4197,163,657,684,871,148,816,3376,5,3862,1906,1956
4155,1974,1974,866,538,256,187,32,1082,882,10,1931,871,1060
5518,2566,2566,132,659,371,559,305,1257,1259,50,2478,1425,1053
3322,1855,1855,823,326,75,78,104,446,1389,20,1697,546,1151
1407,667,667,251,238,39,86,25,326,336,5,678,411,267
4144,1518,1518,121,1149,132,58,0,1125,393,0,1384,922,462
4582,1585,1585,643,576,152,118,26,0,1585,0,1506,168,1338
6467,2797,2797,152,767,750,552,240,1374,1423,0,2653,1500,1153
6735,1844,1844,110,277,405,420,338,1543,301,0,1669,1327,342
7067,2061,2061,7,81,324,427,859,2039,22,0,1883,1839,44
5283,2274,2274,715,990,247,160,58,1596,672,6,2144,1319,825
8274,2443,2443,10,0,1,59,783,2396,47,0,2370,2011,359
3048,934,934,373,211,74,87,31,901,30,3,834,789,45
5150,2032,2032,337,524,201,386,259,1886,142,4,1958,1628,330
2552,841,841,652,52,34,26,15,697,144,0,791,658,133
7137,3636,3636,1257,1005,247,154,127,1029,2604,3,3403,1595,1808
7771,2797,2797,76,729,373,939,235,2313,221,263,2786,2526,260
4063,1442,1442,217,309,245,199,330,1322,75,45,1361,1228,133
3384,1360,1360,1057,140,78,26,10,773,582,5,1261,868,393
0,0,0,0,0,0,0,0,0,0,0,0,0,0
8276,2942,2942,374,583,323,325,555,2734,208,0,2670,2280,390
4175,1458,1458,380,773,247,40,3,1196,257,5,1414,1202,212
6201,2227,2227,33,425,225,511,192,1915,306,6,2070,1842,228
2913,1501,1501,428,710,139,96,24,337,1151,13,1485,573,912
4334,1697,1697,66,380,312,523,127,1503,73,121,1651,1480,171
1734,613,613,19,360,74,45,28,366,247,0,578,417,136
8790,3132,3132,325,1440,353,501,117,1673,1456,3,2952,2153,799
4278,1374,1374,0,85,728,500,20,1352,22,0,1292,1168,124
4788,1846,1846,70,587,341,217,223,1159,670,17,1727,1233,494
5881,2358,2358,451,701,143,210,466,1440,905,13,2285,1540,745
4984,1235,1235,0,0,0,42,740,1226,2,7,1107,1006,101
4346,1914,1914,116,1466,165,105,15,912,1002,0,1905,903,1002
4967,1693,1693,75,1336,181,39,19,1415,273,5,1651,1533,118
5274,2096,2096,66,933,760,224,22,1924,172,0,1965,1762,203
4449,1675,1675,1235,287,50,30,24,1150,525,0,1609,1157,452
3571,1192,1192,197,780,93,40,18,980,209,3,1122,943,179
2737,1497,1497,409,785,105,118,49,376,1113,8,1480,533,947
2410,1151,1151,911,118,16,3,0,15,1136,0,1086,461,625
2725,887,887,176,642,37,10,10,735,152,0,863,641,222
5717,2314,2314,123,1641,204,41,141,1511,803,0,2215,1608,607
2902,1243,1243,191,613,113,132,26,853,390,0,1218,801,417
5046,1877,1877,10,97,1519,198,0,1866,11,0,1776,1605,171
9269,5630,5630,268,2223,1014,480,247,210,5420,0,4965,1682,3283
8450,2891,2891,269,478,77,104,392,2833,53,5,2671,2476,195
3040,1100,1100,418,415,60,51,70,515,575,10,998,217,781
2271,1285,1285,910,140,81,51,39,633,643,9,1216,524,692
365,142,142,59,57,9,0,11,117,5,20,132,116,16
5923,2147,2147,48,623,584,578,200,1374,773,0,2012,1754,258
3141,1099,1099,216,502,161,156,32,786,313,0,1083,951,132
13270,4161,4161,61,293,145,767,994,4145,6,10,3801,3558,243
3448,1176,1176,100,646,263,86,0,1153,23,0,1099,784,315
2554,1159,1159,658,292,94,64,7,914,245,0,1093,809,284
4758,2047,2047,212,1530,209,56,19,1164,883,0,1982,1103,879
8146,1965,1965,12,44,105,1436,247,1676,289,0,1796,1610,186
3028,1570,1570,401,810,145,80,26,525,1035,10,1552,625,927
5378,2281,2281,771,792,161,290,67,1256,1025,0,2240,1457,783
3795,1836,1836,1097,471,151,52,26,565,1266,5,1761,486,1275
4890,1699,1699,779,480,150,129,29,1464,230,5,1672,1456,216
4022,1772,1772,276,1165,197,93,10,810,958,4,1697,534,1163
4822,2573,2573,1177,603,204,139,44,108,2454,11,2403,872,1531
3484,1425,1425,119,1049,195,32,12,804,621,0,1382,938,444
5514,1758,1758,145,539,99,364,192,1726,32,0,1614,1464,150
3404,1404,1404,134,812,210,47,91,874,530,0,1353,859,494
7074,2733,2733,257,672,383,330,337,2176,552,5,2562,2133,429
5511,1591,1591,0,9,42,993,223,1368,223,0,1478,1286,192
8355,3185,3185,222,1065,595,336,332,2641,539,5,3087,2522,565
6419,2327,2327,188,452,322,340,186,1747,423,157,2205,1816,389
6765,2793,2793,138,1496,495,398,95,1756,1017,20,2781,1699,1082
1455,598,598,279,242,23,40,11,427,150,21,537,86,451
4841,2345,2345,164,880,411,617,139,38,2307,0,2214,745,1469
2304,918,918,183,376,157,54,36,839,75,4,850,765,85
4255,1995,1995,1116,494,81,114,27,307,1614,74,1899,730,1169
2380,906,906,189,275,129,86,95,892,5,9,841,808,33
8087,2897,2897,23,429,771,578,327,2467,430,0,2768,2570,198
2447,1207,1207,408,296,158,68,17,6,1201,0,1098,169,929
7433,2738,2738,8,154,1017,774,441,2195,543,0,2566,2054,512
6200,3079,3079,151,692,836,821,133,446,2609,24,2728,1624,1104
8252,3005,3005,0,16,22,68,306,1612,1393,0,2702,1834,868
5056,1675,1675,30,230,1006,306,11,1658,12,5,1616,1585,31
6050,2184,2184,1027,900,139,48,0,2009,175,0,2002,1838,164
2861,1064,1064,689,184,31,26,10,950,108,6,990,842,148
4232,1643,1643,19,259,93,313,271,1027,612,4,1559,1152,407
4037,1748,1748,1020,538,78,94,0,1279,464,5,1718,1181,537
8025,3248,3248,280,1224,674,71,10,845,2394,9,3061,1534,1527
7537,3112,3112,1393,899,226,112,73,2350,752,10,2843,1829,1014
14205,3837,3837,9,15,30,37,158,3809,28,0,3433,3216,217
8896,4674,4674,90,1262,600,758,625,482,4191,1,4314,516,3798
7425,2684,2684,43,691,317,688,506,1949,728,7,2603,2269,334
5734,1750,1750,0,0,11,415,918,1615,135,0,1624,1544,80
8166,2878,2878,257,1129,214,228,385,2575,298,5,2755,2464,291
10880,3096,3096,10,11,12,78,1026,2824,272,0,2781,2405,376
11478,3433,3433,43,20,38,751,1366,3427,5,1,3210,3096,114
4179,1327,1327,110,198,66,73,267,1250,77,0,1141,970,171
5754,2123,2123,257,584,276,299,160,1872,31,220,1890,1809,81
1122,654,654,360,50,55,25,33,11,643,0,617,328,289
3910,1704,1704,633,422,212,150,62,326,1372,6,1599,620,979
7381,2298,2298,17,18,22,341,1169,2252,46,0,2202,1851,351
6025,2456,2456,556,744,327,211,217,1885,551,20,2391,1800,591
5688,1925,1925,48,818,695,245,28,1495,430,0,1826,1578,248
5104,2033,2033,218,930,392,401,35,1857,172,4,1933,1464,469
2357,837,837,184,105,47,129,21,711,126,0,773,654,119
4109,1033,1033,10,62,291,396,112,36,993,4,950,415,535
3637,1679,1679,459,825,314,39,3,141,1538,0,1609,500,1109
7054,2269,2269,247,1609,295,83,0,68,2201,0,2142,1363,779
4862,2290,2290,1020,838,167,49,29,95,2184,11,2195,760,1435
6829,2733,2733,398,1138,336,348,364,1478,1255,0,2578,972,1606
5433,2322,2322,700,997,108,126,55,1175,1144,3,2112,979,1133
4624,1776,1776,437,931,123,130,40,1384,392,0,1674,1398,276
5744,1939,1939,90,430,315,371,242,1789,124,26,1810,1625,185
7526,2772,2772,8,15,141,856,623,2358,414,0,2490,2280,210
2079,980,980,542,196,119,46,25,759,216,5,958,839,119
