Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
3996,1743,114908.68,1743,293,535,274,252,68,1408,335,0,1627,1406,221
6058,2504,83469.6,2504,32,771,522,426,208,1861,469,174,2446,1823,623
1002,343,39711.65,343,3,63,65,108,69,281,0,62,342,297,25
3863,2077,41675.04,2077,0,27,46,279,1001,96,1970,11,1926,1088,838
5151,2064,72751.69,2064,744,854,233,78,48,1714,341,9,2007,1504,503
6449,2851,46281.25,2851,983,790,360,240,149,1495,1269,87,2709,1545,1164
5365,1753,121271.12,1753,136,398,123,595,152,1735,15,3,1680,1642,38
2500,1290,47203.56,1290,809,366,47,21,0,43,1247,0,1216,338,878
8768,1878,91158.51,1878,13,0,0,45,700,1795,83,0,1741,1608,133
7399,2796,59489.9,2796,562,679,442,643,137,634,2157,5,2634,1339,1295
6592,1881,68065.89,1881,24,899,473,230,131,1129,746,6,1753,1261,492
4409,1587,94322.32,1587,455,293,143,66,160,1569,12,6,1332,1191,141
3832,1515,78165.7,1515,140,1154,127,67,11,918,597,0,1461,968,493
4488,1887,46777.46,1887,591,996,113,63,35,512,1355,20,1820,673,1147
820,418,54108.1,418,322,46,24,15,0,21,392,5,397,119,278
6477,2164,80837.96,2164,514,439,276,292,203,782,1378,4,2046,1345,701
384,98,54750,98,3,29,17,23,9,73,0,25,101,75,11
1722,1029,27314.36,1029,262,237,124,104,63,38,986,5,849,30,819
7935,2992,91704.49,2992,367,885,677,175,323,2712,280,0,2866,2528,338
3480,1307,93612.83,1307,555,589,49,55,33,1244,63,0,1263,1199,64
4236,1553,74657.09,1553,249,462,613,91,45,1079,474,0,1494,1242,252
8985,2940,86049.21,2940,0,82,1238,511,383,2130,810,0,2737,2364,373
2231,705,24433.04,705,148,325,149,28,7,135,570,0,668,34,634
6105,2650,84905.26,2650,172,1238,183,271,499,1409,1241,0,2507,1189,1318
4706,2899,48530.44,2899,216,933,814,420,249,515,2379,5,2743,1284,1459
4426,2042,55979.05,2042,327,1051,241,248,87,924,1114,4,1931,1016,915
3177,1446,82539.6,1446,1107,222,26,18,26,1248,193,5,1423,1176,247
946,462,48506.04,462,277,78,26,10,11,165,297,0,451,216,235
5117,1955,122869.9,1955,9,494,1063,103,50,1578,377,0,1851,1600,251
4748,1986,84424.67,1986,18,394,553,521,4,1073,913,0,1864,1199,665
10229,2498,78393.63,2498,0,69,379,245,1282,2064,434,0,2328,1761,567
2242,1116,46990.42,1116,798,240,25,30,4,113,1003,0,1055,218,837
4766,1830,105069.4,1830,272,689,366,286,78,1484,308,38,1818,1426,392
6510,2456,78442.48,2456,74,1422,498,183,91,2105,351,0,2297,1708,589
3130,1223,82787.53,1223,81,865,62,38,19,1052,171,0,1184,794,390
4868,1829,32107.01,1829,191,945,348,149,102,208,1616,5,1694,567,1127
6518,2273,73756.33,2273,281,1673,155,64,29,1598,675,0,2133,1641,492
4415,2079,59862.21,2079,1461,357,112,62,8,373,1701,5,1983,857,1126
7836,2385,107434.29,2385,0,2,2,33,488,2381,4,0,2167,1917,250
9038,3266,92696.88,3266,36,545,463,930,240,3009,257,0,3124,2654,470
3657,1729,45554.09,1729,998,502,74,33,13,272,1448,9,1640,678,962
4856,1860,106026.53,1860,625,590,197,305,69,1714,133,13,1813,1538,275
41,22,54083.5,22,0,0,0,14,4,22,0,0,21,5,0
4396,2244,45546.23,2244,1280,578,171,45,37,355,1855,34,2139,797,1342
5028,1990,79366.08,1990,94,860,245,198,90,1471,509,10,1876,1543,333
3738,1754,60000,1754,579,792,123,91,0,1012,742,0,1631,934,697
1451,866,39669.57,866,474,232,56,49,17,25,827,14,863,179,684
4788,2243,40538.86,2243,1167,631,223,112,36,221,2012,10,2149,802,1347
2633,1524,30821.26,1524,648,388,167,94,99,67,1453,4,1458,252,1206
5747,2874,56552.85,2874,26,587,370,112,61,89,2785,0,2620,1537,1083
6674,2143,193085.57,2143,233,1229,444,89,20,2137,6,0,2028,1944,84
5249,1542,86511.16,1542,0,11,2,48,563,1537,5,0,1410,1205,205
2167,1204,74150.68,1204,442,420,125,48,46,232,972,0,1086,276,810
5362,2399,54444.15,2399,967,992,113,117,35,1847,552,0,2326,1354,972
5046,2209,26453,2209,1174,430,364,105,28,433,1767,9,2037,329,1708
6657,2679,86712.18,2679,36,384,242,365,473,1801,740,138,2435,1718,717
3258,1363,92551.37,1363,471,530,102,150,46,1344,0,19,1304,1249,55
3283,1767,37333.89,1767,703,282,75,146,17,11,1745,11,1633,492,1141
330,125,85909.09,125,3,33,25,27,11,110,10,5,119,119,0
4283,1589,133408.33,1589,1147,151,71,63,37,1234,355,0,1502,1113,389
2536,1121,57909.01,1121,375,698,15,10,5,643,478,0,1090,570,520
7356,2612,113188.99,2612,288,589,269,617,268,2406,99,107,2334,1991,343
4746,1802,41008.7,1802,592,975,98,21,0,16,1750,36,1717,636,1081
6608,2749,75460.11,2749,290,983,245,153,368,1646,1100,3,2601,1720,881
11761,3853,115042.35,3853,10,3,234,976,447,3216,637,0,3236,2720,516
2748,1486,47265.54,1486,927,294,63,64,56,12,1460,14,1387,394,993
855,345,90678.97,345,128,102,29,39,23,268,0,77,341,265,76
8444,2937,127302.88,2937,9,12,12,78,496,2518,419,0,2601,1996,605
3971,1448,67468.02,1448,162,899,124,52,20,575,870,3,1298,447,851
1936,798,47462.87,798,261,270,76,76,24,483,315,0,734,394,340
5571,1561,86895.36,1561,36,57,348,476,160,1439,122,0,1469,1352,117
4471,1580,103123.32,1580,487,491,234,152,66,1554,5,21,1473,1326,147
6231,2514,33736.46,2514,1233,832,173,126,90,36,2473,5,2395,548,1847
3412,1149,84611.63,1149,19,319,696,72,14,1003,142,4,1103,834,269
8458,3065,113602.92,3065,24,32,52,601,694,1729,1300,36,2836,2349,487
6127,2659,48103.75,2659,719,1250,280,127,18,822,1817,20,2540,964,1576
5317,1742,80556.81,1742,35,1171,358,110,18,1492,250,0,1589,1219,370
3972,1415,105773.25,1415,151,1204,18,0,0,1377,38,0,1306,1238,68
3,2,100000,2,0,1,0,0,0,2,0,0,6,5,1
4789,1566,81735.45,1566,81,345,374,294,89,1318,246,2,1434,1277,157
3139,1115,116419.48,1115,61,307,179,70,67,1048,67,0,940,872,68
6398,2245,100275.63,2245,45,109,363,709,272,1655,585,5,2053,1762,291
6367,2251,85406.71,2251,50,213,159,413,519,1687,560,4,2067,1633,434
9524,2605,95184.73,2605,50,51,110,253,682,2480,122,3,2363,2095,268
3851,1558,102940.15,1558,166,393,252,318,136,1395,142,21,1495,1230,265
2714,1156,75974.15,1156,572,326,85,40,14,925,231,0,1075,687,388
8263,3538,54423.92,3538,412,1343,442,421,148,2433,1101,4,3320,1976,1344
2469,1730,43371.88,1730,351,766,279,70,27,121,1601,8,1656,366,1290
7930,2253,104177.97,2253,12,123,202,1572,245,2169,84,0,2153,1851,302
3158,1242,206075.59,1242,1018,168,20,14,3,681,561,0,1218,740,478
5403,2644,53664.56,2644,1753,624,115,46,6,1488,1152,4,2510,1278,1232
5191,1470,118699.67,1470,0,11,16,584,642,1470,0,0,1369,1279,90
7363,2599,48135.79,2599,383,1567,162,68,20,886,1707,6,2410,1003,1407
3330,1560,45464.71,1560,676,511,155,70,21,707,853,0,1496,628,868
7793,3106,42056.87,3106,1120,1411,207,163,70,769,2337,0,2920,1000,1920
3388,1325,71209.51,1325,541,332,165,149,47,1177,109,39,1310,1093,217
8812,2110,95639.21,2110,3,0,16,239,940,1963,147,0,1906,1660,246
4914,2460,96255.4,2460,1384,680,125,70,27,544,1916,0,2310,870,1440
2169,1244,37649.04,1244,974,150,65,30,0,177,1053,14,1244,387,857
1123,474,84806.31,474,64,209,90,49,12,371,98,5,471,383,88
7958,2865,112905.99,2865,212,1363,354,695,49,1906,956,3,2750,2410,340
4326,1547,105559.85,1547,0,19,231,540,605,1369,178,0,1445,1300,145
8913,3329,112272.14,3329,10,114,559,343,306,2774,554,1,3043,2344,698
2354,1179,102509.46,1179,658,117,86,99,25,440,739,0,1106,658,448
5326,2114,60583.31,2114,655,1023,89,52,47,927,1171,16,1953,699,1254
2019,1090,31658,1090,809,195,58,19,3,434,644,12,1070,363,707
5037,1753,78403.42,1753,399,553,227,250,34,920,833,0,1647,848,799
7615,2672,99244.1,2672,112,1186,711,293,137,2059,613,0,2449,2140,309
1003,449,97376.94,449,86,173,69,25,9,445,4,0,403,384,19
4301,1932,54400.6,1932,1253,389,150,39,32,732,1185,15,1822,988,834
5008,1742,36760.03,1742,844,489,150,134,46,75,1667,0,1652,311,1341
2847,1402,39118.41,1402,770,343,60,68,17,894,504,4,1305,773,532
2957,1290,70000,1290,242,694,76,51,43,590,700,0,1295,695,600
11322,3829,163926.03,3829,0,11,230,1303,939,3553,276,0,3525,3165,359
13997,4809,103849.43,4809,200,638,253,430,487,4519,241,49,4134,3674,460
9792,3065,109400.11,3065,11,12,139,1328,359,2812,253,0,2840,2505,335
16798,5394,104615.52,5394,10,0,8,18,208,4686,702,6,4789,4303,486
7179,2170,107105.02,2170,12,66,379,1207,232,2015,155,0,2052,1711,341
7359,3171,79761.41,3171,2411,383,102,36,34,1470,1701,0,2963,1754,1209
4094,1535,87471.56,1535,370,445,227,200,85,1482,20,33,1561,1433,128
5853,1778,81177.09,1778,37,978,648,52,3,1576,197,5,1655,1252,403
3568,1792,46161.73,1792,799,665,136,40,23,342,1440,10,1745,518,1227
7368,2656,97090.07,2656,8,15,161,838,593,2024,632,0,2454,2083,371
957,560,70000,560,0,27,158,122,112,556,0,4,527,503,24
5236,2146,78149.36,2146,173,610,435,396,146,1096,1050,0,2049,1160,889
3455,1338,78671.95,1338,696,451,57,42,12,1124,214,0,1333,1151,182
7085,2580,111424.92,2580,305,869,196,362,468,2365,215,0,2413,1893,520
5132,1943,90173.38,1943,13,1025,753,83,12,1933,5,5,1870,1628,242
7105,3220,54901.18,3220,2302,460,97,129,39,2407,804,9,2962,1878,1084
2562,1208,36781.11,1208,577,359,93,77,19,390,813,5,1200,490,710
2093,742,92514.32,742,103,548,13,8,53,639,103,0,694,502,192
4813,1854,88155.97,1854,60,577,240,329,253,1464,347,43,1786,1458,328
5229,1844,57753.43,1844,685,701,268,129,10,1051,793,0,1735,1045,690
8160,2017,96312.32,2017,0,9,8,102,887,2011,6,0,1887,1743,144
7566,2820,79376.99,2820,97,427,181,763,420,2539,246,35,2637,2378,259
5409,2189,78313.67,2189,20,591,1070,305,50,1304,546,339,2058,1811,247
260,123,31356.32,123,83,12,0,11,16,24,99,0,125,38,87
4346,1545,128930.11,1545,69,488,203,560,98,1210,335,0,1417,1291,126
3054,1075,127961.32,1075,655,256,17,19,26,1041,34,0,1032,936,96
3651,1660,77418.16,1660,64,785,371,234,51,1015,641,4,1585,1022,563
15214,5771,106698.44,5771,61,487,135,627,436,5100,657,14,5167,4529,638
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10897,3523,101136.32,3523,0,34,2,26,142,2980,543,0,3164,2454,710
7338,2640,46834.34,2640,292,745,284,402,79,637,1999,4,2475,1139,1336
5669,2928,54419.86,2928,906,1248,393,91,94,1186,1742,0,2735,1399,1336
5522,2035,102668.27,2035,512,404,252,335,216,1964,60,11,1951,1810,141
7183,3378,67530.45,3378,139,1037,631,714,380,1515,1858,5,3262,1832,1430
13863,5267,106133.39,5267,154,589,568,432,418,3472,1795,0,4835,3877,958
3450,1877,43284.5,1877,606,1022,118,86,10,295,1582,0,1859,440,1419
3573,1466,40715.2,1466,894,427,31,69,26,196,1261,9,1424,480,944
8188,3095,76397.78,3095,318,1072,384,342,291,2436,626,33,3025,2431,594
5224,1792,32620.2,1792,408,1122,125,51,41,489,1303,0,1693,499,1194
3751,1538,55653.39,1538,342,411,267,206,102,1472,10,56,1474,1387,87
2118,1168,36564.32,1168,599,209,68,68,28,168,994,6,1076,266,810
6740,2152,131915.98,2152,10,80,936,749,221,1900,252,0,1992,1721,271
6625,3139,48284.99,3139,888,766,446,278,90,1815,1295,29,2961,1419,1542
174,76,97703.42,76,0,36,0,0,20,42,29,5,74,0,74
67,60,40000,60,50,6,0,0,0,0,60,0,51,0,51
3200,1194,93983.12,1194,178,938,23,10,3,1174,16,4,1169,1127,42
4467,1348,84416.04,1348,10,20,197,480,415,1021,327,0,1293,1019,274
5360,2255,46023.15,2255,1347,583,137,56,34,17,2238,0,2143,504,1639
4818,2387,47604.54,2387,471,798,196,384,148,1089,1294,4,2265,941,1324
6706,2731,73101.25,2731,500,821,404,428,225,2481,240,10,2618,2019,599
5347,2159,78799.98,2159,202,591,576,341,111,1596,558,5,2064,1596,468
3680,936,82617.45,936,10,83,728,93,3,855,81,0,877,826,51
209,75,50541.45,75,9,9,18,23,2,71,4,0,72,56,16
6225,2550,104293.73,2550,74,514,1176,432,217,1877,668,5,2500,2107,393
3290,1235,84161.71,1235,0,14,35,171,741,982,253,0,1156,841,315
3678,1562,43142.16,1562,577,565,204,149,29,982,580,0,1471,551,920
7491,2825,90313.26,2825,127,417,786,635,379,2068,655,102,2780,2258,522
6134,1983,94505.18,1983,393,579,775,162,15,1620,363,0,1817,1483,334
5104,2109,87937.18,2109,10,34,54,348,467,913,1187,9,2014,1698,316
3744,1451,56960.96,1451,920,330,34,36,15,1108,343,0,1357,983,374
4542,1880,89142.51,1880,359,411,284,279,187,1684,191,5,1817,1591,226
3944,1380,73648.92,1380,670,359,174,99,21,1334,46,0,1334,1252,82
6758,2405,106125.59,2405,280,342,478,627,266,2192,213,0,2376,2124,252
3417,1369,109022.55,1369,276,681,145,152,32,1216,153,0,1301,1220,81
7036,2071,73964.65,2071,15,537,1319,110,19,1628,443,0,1917,1276,641
490,218,35963.36,218,52,53,47,34,9,213,0,5,224,194,30
6593,2171,67136.56,2171,482,730,194,210,115,642,1525,4,2052,1233,819
4737,1807,86658.52,1807,80,509,498,345,194,1450,357,0,1762,1438,324
8383,3378,80606.7,3378,180,516,357,530,478,2736,636,6,3223,2604,619
15,10,17842.37,10,1,1,0,0,0,10,0,0,2,2,0
4923,2404,38780.23,2404,1172,688,204,139,53,244,2131,29,2278,704,1574
7871,3098,84738.02,3098,1802,260,91,189,337,2092,1002,4,2887,2183,704
5477,2111,103938.02,2111,311,491,354,352,179,2000,43,68,2012,1868,144
5888,2224,81087.56,2224,405,610,342,320,143,1893,62,269,2110,1733,377
3453,1092,121741.91,1092,10,563,466,26,3,1082,10,0,1057,1001,56
1763,1053,37064.08,1053,184,204,45,317,137,151,898,4,1009,527,482
2642,1005,149022.1,1005,584,65,69,70,46,843,158,4,903,739,164
4439,1898,58979.1,1898,471,879,175,51,101,964,929,5,1823,1151,672
4960,1832,82402.91,1832,33,248,193,700,344,1403,429,0,1742,1448,294
7156,1835,89557.31,1835,64,625,600,248,72,970,860,5,1733,1211,522
892,459,36466.43,459,252,120,23,41,17,135,324,0,434,92,342
2049,1151,42860.58,1151,827,182,46,32,3,0,1141,10,1078,269,809
2786,1094,48150.84,1094,939,116,10,0,3,854,225,15,1020,732,288
2958,1509,36793.26,1509,697,320,199,44,32,275,1228,6,1427,331,1096
5204,1995,52786.74,1995,258,1419,109,169,3,408,1587,0,1906,696,1210
3797,1435,88698.15,1435,194,596,194,263,40,1340,51,44,1423,1336,87
4251,1745,47882.19,1745,192,1178,59,71,28,26,1719,0,1671,583,1088
880,341,80793.23,341,33,110,44,30,49,309,21,11,320,287,33
860,387,46545.41,387,346,35,4,0,0,332,50,5,381,250,131
5062,2496,86357.45,2496,1168,278,309,500,71,559,1932,5,2364,1214,1150
4261,1503,32789.46,1503,682,376,178,60,13,331,1167,5,1332,246,1086
5362,2099,103991.02,2099,103,1653,120,161,35,1757,342,0,2053,1526,527
6540,3317,76944.85,3317,1392,1139,235,140,114,1089,2228,0,3054,1010,2044
5098,2114,101709.74,2114,422,436,141,367,498,1026,1088,0,1964,1347,617
6683,2951,56024.42,2951,734,972,356,270,120,1859,1008,84,2729,1534,1195
6981,2668,74322.16,2668,328,893,342,260,201,2419,228,21,2544,2216,328
3925,1326,69266.16,1326,52,1045,118,75,16,1002,324,0,1280,610,670
9875,3139,111252.23,3139,3,10,0,110,1639,2373,766,0,2967,2611,356
11928,4297,78576.07,4297,68,286,192,378,834,3285,1007,5,4169,3828,341
5641,2101,62979.05,2101,777,339,314,497,119,1927,170,4,2034,1504,530
5056,1539,93420.13,1539,78,1018,212,122,20,796,743,0,1490,1185,305
2528,1153,87343.62,1153,873,113,44,58,0,570,578,5,1101,615,486
4072,1813,65755.03,1813,786,343,126,229,123,1090,718,5,1713,1114,599
1692,636,88658.23,636,62,152,78,97,86,572,40,24,609,503,106
6101,3597,58637.95,3597,340,1768,674,336,191,62,3535,0,3228,1194,2034
3013,1225,67845.86,1225,226,396,228,104,69,1088,131,6,1185,1017,168
2287,979,81304.47,979,759,171,13,24,0,887,92,0,951,843,108
3164,825,97081.29,825,0,0,0,45,679,807,18,0,730,687,43
4467,1502,75184.39,1502,135,710,214,156,24,1122,380,0,1404,973,431
3915,1794,47215.61,1794,1330,286,52,52,0,1156,631,7,1735,1062,673
4251,1586,105061.88,1586,272,532,559,178,9,1349,237,0,1531,1310,221
3743,2179,43629.04,2179,1033,692,211,97,17,33,2141,5,2045,615,1430
5125,2982,31810.79,2982,715,1138,345,318,160,108,2864,10,2770,320,2450
10903,3586,89312.06,3586,14,383,1028,367,83,2954,632,0,3155,2687,468
4256,1798,78218.03,1798,477,568,235,70,72,1323,273,202,1778,1579,199
6685,3272,37999.6,3272,0,16,37,489,1099,684,2588,0,2904,2156,748
4304,1817,75139.93,1817,0,97,621,891,68,706,1111,0,1677,1338,339
6839,2727,90630.65,2727,468,1148,282,361,128,2539,183,5,2655,2281,374
10952,6680,77824.29,6680,208,131,482,351,750,22,6658,0,6060,2731,3329
6365,2811,96109.63,2811,0,14,23,247,275,1612,1194,5,2418,1665,753
4771,1678,114273.3,1678,786,503,171,67,16,1591,87,0,1564,1469,95
7028,3806,55669.09,3806,235,1072,925,778,91,0,3806,0,3536,1549,1987
1465,848,40458.91,848,553,142,54,30,0,25,758,65,842,186,656
5742,2420,66694.17,2420,1078,939,211,78,56,2090,325,5,2350,1759,591
6066,2265,83278.27,2265,82,388,453,644,331,2191,59,15,2094,1784,310
3649,1515,32192.76,1515,810,490,71,85,12,66,1449,0,1492,409,1083
5027,2456,34480.61,2456,155,542,578,350,91,123,2312,21,2268,934,1334
2459,1026,77443.48,1026,29,345,207,216,71,640,381,5,990,745,245
3176,1129,76048.31,1129,688,389,6,12,6,919,210,0,1061,873,188
3285,1064,76471.77,1064,579,393,60,3,0,581,483,0,1047,681,366
7535,2256,123221.67,2256,14,129,1518,513,12,2177,79,0,2102,1957,145
2003,747,85880.34,747,85,208,114,190,61,673,21,53,702,671,31
8065,2871,37502.86,2871,678,1511,266,204,82,1030,1841,0,2687,1341,1346
5120,1745,111330.29,1745,38,311,135,402,249,1553,188,4,1653,1564,89
3151,1303,84257.03,1303,396,392,58,37,77,827,476,0,1201,785,416
4271,1927,44220.48,1927,957,569,107,110,25,509,1407,11,1836,756,1080
3543,1525,53249.77,1525,376,343,175,250,169,1163,357,5,1487,1042,445
2695,1044,78913.59,1044,816,92,32,37,29,795,244,5,1007,796,211
4639,1914,87285.33,1914,472,1061,84,33,97,1566,344,4,1803,1394,409
6033,2079,87090.88,2079,27,834,450,120,144,1229,850,0,1879,1560,319
4740,1854,92281.46,1854,29,1186,534,49,17,1717,137,0,1744,1557,187
5577,2129,83424.25,2129,113,425,334,269,152,1772,346,11,1978,1629,349
4250,1803,91160.51,1803,1312,270,65,36,25,1329,462,12,1698,1196,502
2232,1212,34162.69,1212,569,320,128,71,41,198,994,20,1177,309,868
6613,2500,75393.62,2500,182,2010,137,62,48,1556,922,22,2358,2009,349
3140,1153,94569.92,1153,32,796,230,80,0,891,262,0,1115,717,398
139,42,112433,42,0,8,0,14,0,42,0,0,38,9,8
185,50,75471.53,50,0,8,2,9,2,50,0,0,62,0,0
3962,1626,53072.91,1626,52,919,378,216,4,43,1583,0,1504,1274,230
3588,1287,92578.19,1287,146,322,139,195,163,1102,146,39,1223,1071,152
2883,1581,53492.65,1581,614,384,89,68,28,208,1325,48,1471,586,885
7393,2847,109273.34,2847,403,859,557,452,265,2832,15,0,2687,2483,204
2151,855,75048.05,855,249,234,125,120,53,710,139,6,819,567,252
3740,1224,58867.21,1224,127,920,74,66,3,748,476,0,1143,831,312
3481,1771,51867.95,1771,504,758,179,48,8,813,958,0,1682,848,834
497,309,21213.77,309,82,198,22,0,0,41,263,5,318,0,318
4478,1777,61817.73,1777,564,831,107,80,32,1214,559,4,1700,892,808
9311,2092,97170.85,2092,2,0,11,72,1045,1916,176,0,1945,1805,140
3352,1245,98756.37,1245,135,1018,16,49,0,1245,0,0,1169,1134,35
3077,1018,115426.76,1018,7,7,0,82,279,1012,6,0,941,913,28
7782,2946,86548.36,2946,1247,638,256,310,118,2858,77,11,2689,2354,335
5113,3185,71241.44,3185,190,978,217,569,584,109,3076,0,2927,1181,1746
3536,1675,47579.44,1675,1262,317,31,16,10,206,1463,6,1603,604,999
4739,2447,44398.66,2447,216,829,252,480,147,644,1803,0,2306,906,1400
4276,1418,26237.48,1418,329,811,107,73,9,393,1025,0,1332,24,1308
2974,1241,47585.25,1241,431,620,51,54,28,64,1172,5,1191,441,750
1109,434,99262.9,434,56,105,63,38,73,428,6,0,373,334,39
4694,1812,97742.92,1812,504,458,350,211,103,1772,25,15,1710,1595,115
3330,2195,27724.44,2195,586,1009,303,145,49,16,2169,10,2067,126,1941
3445,1385,80994.05,1385,159,526,196,237,95,1239,26,120,1309,1239,70
3230,1494,44302.36,1494,159,316,443,73,39,195,1294,5,1373,512,861
3318,1343,69562.55,1343,535,475,127,84,15,877,462,4,1227,663,564
10534,4315,71724.61,4315,121,1121,129,360,1440,3801,514,0,4182,3386,796
3783,1498,39520.37,1498,400,443,351,128,47,257,1233,8,1443,507,936
11037,4051,126881.87,4051,311,755,626,452,365,4003,47,1,3725,3336,389
4457,2051,68971.88,2051,1251,528,50,61,27,1389,660,2,1904,1252,652
5068,1411,112022.25,1411,5,0,0,22,54,1405,6,0,1182,1118,64
60,16,43194.44,16,3,0,9,3,0,16,0,0,18,8,2
460,151,74535.59,151,0,0,0,0,0,151,0,0,124,109,15
6027,2351,77359.72,2351,2,9,26,851,683,1190,1161,0,2152,1677,475
7397,2713,95530.85,2713,1068,540,241,251,101,1799,914,0,2579,2000,579
2661,1379,51340.6,1379,54,434,330,76,137,229,1150,0,1302,743,559
5074,1996,70704.27,1996,373,447,241,286,176,1403,417,176,1935,1417,518
3148,1621,50992.43,1621,841,489,130,86,13,602,1009,10,1532,666,866
4119,1870,41952.84,1870,913,542,293,75,17,145,1720,5,1823,699,1124
3907,1637,90116.05,1637,0,527,256,307,49,1239,398,0,1429,1124,305
3120,1053,180894.78,1053,62,62,38,129,351,1042,11,0,989,954,35
4198,1552,60581.49,1552,63,1212,101,80,7,924,628,0,1489,900,589
7903,2993,102137.01,2993,10,715,1020,616,119,2397,594,2,2805,2557,248
4523,2063,59434.06,2063,12,191,481,747,482,313,1750,0,1911,468,1443
4710,2051,44816.82,2051,264,1402,235,98,8,183,1864,4,1977,586,1391
6478,2299,113157.03,2299,5,72,135,861,296,2018,91,190,2264,2062,202
3665,997,96092.49,997,13,16,23,654,83,957,40,0,898,801,97
1730,872,41439.95,872,513,185,85,38,12,78,769,25,834,240,594
9173,3085,77836.03,3085,24,35,103,1292,459,1445,1640,0,2912,2229,683
4900,1965,40386.65,1965,692,828,148,99,9,164,1776,25,1859,630,1229
4352,1729,70761.06,1729,35,1481,139,43,6,1462,267,0,1714,1444,270
7988,2999,106219.11,2999,374,504,350,248,438,2875,119,5,2890,2525,365
3407,1947,42692.33,1947,879,617,211,65,22,674,1273,0,1782,616,1166
5309,2218,50710.33,2218,950,825,239,142,20,1990,224,4,2153,1306,847
802,253,77998.04,253,9,9,15,25,58,253,0,0,250,21,36
2787,1209,35427.4,1209,575,377,66,105,18,787,422,0,1125,459,666
3964,1759,81693.59,1759,291,1106,97,48,22,1126,628,5,1760,1270,490
4836,1975,91140.8,1975,1023,557,220,80,32,1576,394,5,1855,1482,373
7553,1721,91238.24,1721,0,22,58,868,646,1407,314,0,1565,1362,203
4488,2148,53802.91,2148,108,266,414,785,192,1195,913,40,2020,1431,589
6526,2399,86221.23,2399,216,465,533,689,279,2306,89,4,2331,2135,196
2528,684,88981.29,684,0,0,0,50,590,668,16,0,657,621,36
4968,2047,54459.22,2047,308,830,387,317,89,1499,548,0,1995,1150,845
868,344,95896.36,344,287,43,12,0,0,178,166,0,340,202,138
5461,1684,98613.23,1684,0,0,0,88,881,1673,11,0,1579,1437,142
4770,1798,72444.61,1798,99,1084,190,195,151,1519,279,0,1741,1230,511
3311,1272,116056.03,1272,229,353,386,175,40,917,355,0,1215,1022,193
2694,1088,77361.54,1088,384,647,31,0,2,958,125,5,1021,803,218
1141,383,85721.1,383,185,85,28,15,24,327,56,0,385,315,70
4790,2811,28219.26,2811,187,1342,516,469,90,287,2523,1,2675,868,1807
4292,1626,118720.97,1626,1439,109,16,11,0,1228,393,5,1586,1230,356
6417,2442,72670.87,2442,420,816,671,272,106,1478,964,0,2225,1183,1042
2612,1430,39536.67,1430,962,240,81,56,46,60,1361,9,1418,397,1021
